sein,être,✅,Ich bin seit 2015 Lehrer. *(Je suis enseignant depuis 2015.)*,Ich bin krank gewesen. *(J'ai été malade.)*,Ich werde in 3 Wochen in Berlin sein. *(Je serai à Berlin dans 3 semaines.)*
haben,avoir,✅,"Ich habe heute viele Termine, also muss ich gut organisiert sein. (J’ai beaucoup de rendez-vous aujourd’hui, donc je dois être bien organisé.)",Ich habe einen Hund gehabt. *(J'ai eu un chien.)*,"Ich werde morgen keine Zeit haben, weil ich den ganzen Tag in Meetings bin. (Je n’aurai pas de temps demain car je serai en réunion toute la journée.)"
wollen,vouloir,✅,Ich will dieses Jahr unbedingt mehr reisen und neue Kulturen entdecken. (Je veux absolument voyager davantage cette année et découvrir de nouvelles cultures.),"Ich habe schon immer Arzt werden wollen, seit ich ein Kind war. (J’ai toujours voulu devenir médecin depuis que je suis enfant.)","Wenn alles gut läuft, werde ich ab nächstem Jahr nur noch an Projekten arbeiten, die ich wirklich will. (Si tout se passe bien, je ne travaillerai à partir de l’an prochain que sur des projets que je veux vraiment.)"
mögen,"aimer, vouloir (au subjonctif : « möchte » = aimerait)",✅,Ich mag Schokolade sehr. (J’aime beaucoup le chocolat.),"Früher habe ich keinen Kaffee gemocht. (Avant, je n’aimais pas le café.)","Ich werde sehen, ob ich es morgen mögen werde. (Je verrai si je vais aimer ça demain.)"
können,pouvoir,✅,Ich kann Deutsch sprechen. *(Je peux parler allemand.)*,Er hat das Problem lösen können. *(Il a pu résoudre le problème.)*,Wir werden das später machen können. *(Nous pourrons le faire plus tard.)*
müssen,devoir (obligation),✅,Ich muss heute früh aufstehen. *(Je dois me lever tôt aujourd'hui.)*,Er hat seine Hausaufgaben machen müssen. *(Il a dû faire ses devoirs.)*,Wir werden morgen arbeiten müssen. *(Nous devrons travailler demain.)*
sollen,"devoir (moral, obligation indirecte)",✅,Ich soll meiner Großmutter heute helfen. (Je dois aider ma grand-mère aujourd’hui.),"Ich habe ihr gesagt, dass ich ihr helfen soll. (Je lui ai dit que je devais l’aider.)","Ich werde ihr helfen, wie ich es tun soll. (Je vais l’aider, comme je suis censé le faire.)"
abschließen,"conclure, fermer à clé, terminer",✅,Ich schließe heute meinen Vertrag mit der neuen Firma ab. (Je conclus aujourd’hui mon contrat avec la nouvelle entreprise.),Sie hat ihr Studium erfolgreich abgeschlossen und arbeitet jetzt in einer Klinik. (Elle a terminé ses études avec succès et travaille maintenant dans une clinique.),"Wenn wir noch ein Kapitel lesen, werden wir das Buch morgen abschließen. (Si nous lisons encore un chapitre, nous terminerons le livre demain.)"
bekommen,"recevoir, obtenir",✅,"Ich bekomme jeden Morgen dutzende E-Mails, die ich vor dem Frühstück beantworte. (Je reçois chaque matin des dizaines d’e-mails auxquels je réponds avant le petit-déjeuner.)","Er hat zum Geburtstag ein Fahrrad bekommen, das er sich seit Monaten gewünscht hatte. (Il a reçu un vélo pour son anniversaire qu’il souhaitait depuis des mois.)","Wenn du dich weiterhin so engagierst, wirst du bald eine Beförderung bekommen. (Si tu continues à t’impliquer autant, tu recevras bientôt une promotion.)"
befinden,"se situer, se trouver",✅,"Das Hotel befindet sich im Herzen der Stadt, nur wenige Schritte vom Hauptbahnhof entfernt. (L'hôtel se trouve au cœur de la ville, à quelques pas de la gare principale.)",Die Schlüssel haben sich unter dem Sofa befunden. (Les clés se trouvaient sous le canapé.),"In der Zukunft wird sich das Büro in einem neuen Gebäude befinden. (À l'avenir, le bureau se situera dans un nouveau bâtiment.)"
beitragen,contribuer,✅,Jeder von uns trägt zur Verbesserung des Projekts bei. (Chacun de nous contribue à l'amélioration du projet.),Viele Freiwillige haben zur Organisation des Festivals beigetragen. (Beaucoup de bénévoles ont contribué à l'organisation du festival.),"Ich hoffe, dass ich in Zukunft noch mehr beitragen kann. (J'espère pouvoir contribuer encore plus à l'avenir.)"
anfangen,commencer (familier),✅,Ich fange um 8 Uhr mit der Arbeit an. *(Je commence le travail à 8h.)*,Er hat ein neues Buch angefangen. *(Il a commencé un nouveau livre.)*,Wir werden morgen mit dem Projekt anfangen. *(Nous allons commencer le projet demain.)*
